site,campus,site_name_old,site_name_for_figures,latitude_originalfromVRG,longitude_originalfromVRG,latitude,longitude,site_campus_unique_ID,latitude_old,longitude_old,mpa_group,mpa_type,site_status,secondary_mpa,secondary_status,MLPA_longterm_in_proposal,STATE,mlpa_region,LongTermRegion,analysis_region_2,subregion,MXSRVYDPT_,YEAR_MPA,MPAAreaNM2,MPAShoreNM,CDIP_MOP,time_series_category,NOTES,survey_1999,survey_2000,survey_2001,survey_2002,survey_2003,survey_2004,survey_2005,survey_2006,survey_2007,survey_2008,survey_2009,survey_2010,survey_2011,survey_2012,survey_2013,survey_2014,survey_2015,survey_2016,survey_2017,survey_2018,survey_2019,survey_2020,survey_2021,survey_2022,survey_2023,SurveyYears
MCWAY_DC,UCSC,,Mcway DC,,,36.163808,-121.681516,MCWAY_DC UCSC,,,Big Creek SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,18.3,0,0,0,MO300,,,,,,,"f,c,s,u,",,,,,,,,,,,,,,,,,,,,,1
ESALEN_UC,UCSC,,Esalen UC,,,36.128113,-121.653046,ESALEN_UC UCSC,,,Big Creek SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,21.6,0,0,0,MO272,3,,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,",,,,"f, ,s,u,",,,,,,,,,12
Esalen,RCCA,,Esalen,,,36.1259,-121.647,Esalen RCCA,,,Big Creek SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ESALEN_DC,UCSC,,Esalen DC,,,36.124409,-121.647987,ESALEN_DC UCSC,,,Big Creek SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,21,0,0,0,MO270,3,,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,,,,,,,,,,,,11
DOLAN_UC,UCSC,DOLAN_CANYON_UC,Dolan UC,,,36.109202,-121.633561,DOLAN_UC UCSC,,,Big Creek SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,20.1,2007,0,0,MO258,3,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,,,,"f, ,s,u,",,,,,,,,,3
Dolan,RCCA,,Dolan,,,36.1039,-121.628,Dolan RCCA,,,Big Creek SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0
DOLAN_DC,UCSC,DOLAN_CANYON_DC,Dolan DC,,,36.100175,-121.628374,DOLAN_DC UCSC,,,Big Creek SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,22,2007,0,0,MO252,3,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,,,,,,,,,,,,,2
Big Creek,RCCA,,Big Creek,,,36.0692,-121.601,Big Creek RCCA,,,Big Creek SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BIG_CREEK_UC,UCSC,,Big Creek UC,,,36.069152,-121.60804,BIG_CREEK_UC UCSC,,,Big Creek SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,22.3,1994,0,0,MO232,,,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,,,"f, ,s,u,",,,,,,,,,12
BIG_CREEK_DC,UCSC,,Big Creek DC,,,36.069079,-121.605115,BIG_CREEK_DC UCSC,,,Big Creek SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,20.1,1994,0,0,MO231,,,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,",,,,,,,,,,,,,11
LOPEZ_OLD_UC,UCSC,,Lopez Old UC,,,36.030994,-121.582622,LOPEZ_OLD_UC UCSC,,,Big Creek SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,16.2,0,0,0,MO203,,,,,"f,c,s,u,",,,,,,,,,,,,,,,,,,,,,,,1
Lopez,RCCA,,Lopez,,,36.0306,-121.581,Lopez RCCA,,,Big Creek SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0
LOPEZ_UC,UCSC,,Lopez UC,,,36.02901,-121.581676,LOPEZ_UC UCSC,,,Big Creek SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,21.6,0,0,0,MO202,3,,,,"f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,,,,,,,,,,,,11
LOPEZ_DC,UCSC,,Lopez DC,,,36.022241,-121.581233,LOPEZ_DC UCSC,,,Big Creek SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,20.7,0,0,0,MO199,3,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,",,,,,,,,,,,,,10
LUCIA_DC,UCSC,,Lucia DC,,,36.016207,-121.558327,LUCIA_DC UCSC,,,Big Creek SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,18.9,0,0,0,MO190,,,,,,,"f,c,s,u,","f, ,s,u,",,,,,,,,,,,,,,,,,,,,2
LUCIA_UC,UCSC,,Lucia UC,,,36.016003,-121.564657,LUCIA_UC UCSC,,,Big Creek SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Big Creek,17.4,0,0,0,MO193,,,,,,,"f,c,s,u,","f, ,s,u,",,,,,,,,,,,,,,,,,,,,2
Limkiln,RCCA,Limkiln,Limkiln,,,36.008499,-121.523354,Limkiln RCCA,,,,,,,,,CALIFORNIA,CENTRAL,Central Coast,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
MILL_CREEK_UC,UCSC,WILD_CATTLE_UC,Mill Creek UC,,,35.975929,-121.493489,MILL_CREEK_UC UCSC,,,Piedras Blancas SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,16,0,0,0,MO147,,,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,,,,6
MILL_CREEK_DC,UCSC,WILD_CATTLE_DC,Mill Creek DC,,,35.972098,-121.491162,MILL_CREEK_DC UCSC,,,Piedras Blancas SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,15.2,0,0,0,MO144,,,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,,,,6
PLASKETT_UC,UCSC,,Plaskett UC,,,35.915871,-121.478733,PLASKETT_UC UCSC,,,Piedras Blancas SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,20.1,0,0,0,MO102,,,,,,,"f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,,,,6
PLASKETT_DC,UCSC,,Plaskett DC,,,35.912913,-121.480079,PLASKETT_DC UCSC,,,Piedras Blancas SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,21.6,0,0,0,MO101,,,,,,,"f, ,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,,,,6
WHALEBOAT_UC,UCSC,,Whaleboat UC,,,35.864211,-121.441191,WHALEBOAT_UC UCSC,,,Piedras Blancas SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,16.5,0,0,0,MO063,,,,,,,"f, , , ,",,,,,,,,,,,,,,,,,,,,,1
WHALEBOAT_DC,UCSC,,Whaleboat DC,,,35.861105,-121.435647,WHALEBOAT_DC UCSC,,,Piedras Blancas SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,18,0,0,0,MO060,,,,,,,"f, , , ,",,,,,,,,,,,,,,,,,,,,,1
DUCK_POND_UC,UCSC,,Duck Pond UC,,,35.858239,-121.426419,DUCK_POND_UC UCSC,,,Piedras Blancas SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,15.2,0,0,0,MO056,,,,,,,"f,c,s,u,","f,c,s,u,z",,,,,,,,,,,,,,,,,,,,2
DUCK_POND_DC,UCSC,,Duck Pond DC,,,35.857257,-121.424817,DUCK_POND_DC UCSC,,,Piedras Blancas SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,18,0,0,0,MO055,,,,,,,"f,c,s,u,","f,c,s,u,",,,,,,,,,,,,,,,,,,,,2
SALMON_CREEK_UC,UCSC,,Salmon Creek UC,,,35.8081,-121.374967,SALMON_CREEK_UC UCSC,,,Piedras Blancas SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,17.1,0,0,0,MO016,,,,,,,"f,c,s,u,","f, ,s,u,",,,,,,,,,,,,,,,,,,,,2
SALMON_CREEK_DC,UCSC,,Salmon Creek DC,,,35.806176,-121.365886,SALMON_CREEK_DC UCSC,,,Piedras Blancas SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,18.9,0,0,0,MO012,,,,,,,"f,c,s,u,",", ,s,u,z",,,,,,,,,,,,,,,,,,,,2
LA_CRUZ_UC,UCSC,,La Cruz UC,,,35.713009,-121.325389,LA_CRUZ_UC UCSC,,,Piedras Blancas SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,20.1,2007,0,0,SL692,,,,,,,"f, ,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,,,,6
LA_CRUZ_DC,UCSC,,La Cruz DC,,,35.710426,-121.324076,LA_CRUZ_DC UCSC,,,Piedras Blancas SMR,SMR,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,20.9,2007,0,0,SL692,,,,,,,"f, ,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z",,,,,,,,,,,,,,,,6
NORTH_SAN_SIMEON,UCSC,,North San Simeon,,,35.635042,-121.211614,NORTH_SAN_SIMEON UCSC,,,Piedras Blancas SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Piedras Blancas,18,0,0,0,SL613,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,,,,,,,,,,,,,2
SAN_SIMEON_DC,UCSC,,San Simeon DC,,,35.631667,-121.190248,SAN_SIMEON_DC UCSC,,,Cambria SMCA,SMCA,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,15,0,0,0,SL603,,,,,,,"f, ,s,u,z","f, ,s,u,z","f,c,s,u,",,", ,s,u,z","f,c,s,u,z",,,,,,,,,,,,,,,,5
SAN_SIMEON_UC,UCSC,,San Simeon UC,,,35.630567,-121.19494,SAN_SIMEON_UC UCSC,,,Cambria SMCA,SMCA,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,16.9,0,0,0,SL605,,,,,,,"f, ,s,u,","f,c,s,u,z","f,c,s,u,",,"f, ,s,u,z","f,c,s,u,z",,,,,,,,,,,,,,,,5
SAN_SIMEON_BAY,UCSC,,San Simeon Bay,,,35.62405,-121.164699,SAN_SIMEON_BAY UCSC,,,Cambria SMCA,SMCA,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,14,0,0,0,SL579,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,",,,,,,,,,,,,,,,,2
PICO_CREEK_UC,UCSC,,Pico Creek UC,,,35.612518,-121.15569,PICO_CREEK_UC UCSC,,,Cambria SMCA,SMCA,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,16,2007,0,0,SL570,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,,,,,,,,,,,,,2
PICO_CREEK_DC,UCSC,,Pico Creek DC,,,35.605322,-121.150695,PICO_CREEK_DC UCSC,,,Cambria SMCA,SMCA,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,15.9,2007,0,0,SL564,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,,,,,,,,,,,,,2
CAMBRIA_UC,UCSC,,Cambria UC,,,35.570495,-121.127145,CAMBRIA_UC UCSC,,,Cambria SMCA,SMCA,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,21.2,2007,0,0,SL541,,,,,,"f,c,s,u,","f, ,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,",,,,,,,,,,,,,10
CAMBRIA_DC,UCSC,,Cambria DC,,,35.567893,-121.124319,CAMBRIA_DC UCSC,,,Cambria SMCA,SMCA,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,21,2007,0,0,SL538,,,,,,"f,c,s,u,","f, ,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,,,,,,,,,,,,10
Daddy Bob,RCCA,Daddybob Reef,Daddy Bob,,,35.5377,-121.097,Daddy Bob RCCA,,,White Rock SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PARANOIDS,UCSC,CANESTROS,Paranoids,,,35.537171,-121.100215,PARANOIDS UCSC,,,White Rock SMCA,SMCA,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,21.3,2007,0,0,SL517,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,,,,,,,,,,,,,2
White Rocks,RCCA,,White Rocks,,,35.5278,-121.086,White Rocks RCCA,,,White Rock SMCA,SMCA,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
WHITE_ROCK_UC,UCSC,,White Rock UC,,,35.5271,-121.089899,WHITE_ROCK_UC UCSC,,,White Rock SMCA,SMCA,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,21.6,2007,0,0,SL510,,,,,,"f,c,s,u,","f, ,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,,,,,,,,,,,,10
WHITE_ROCK_DC,UCSC,,White Rock DC,,,35.525649,-121.084627,WHITE_ROCK_DC UCSC,,,White Rock SMCA,SMCA,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,20.1,2007,0,0,SL507,,,,,,"f,c,s,u,","f, ,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,z","f,c,s,u,",,,,,,,,,,,,,10
RADAR,UCSC,CAMBRIA_AIRFORCE,Radar,,,35.512221,-121.073443,RADAR UCSC,,,White Rock SMCA,SMCA,mpa,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,22.1,2007,0,0,SL498,,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,,,,,,,,,,,,,,2
Harmony,RCCA,,Harmony,,,35.5003,-121.055,Harmony RCCA,,,White Rock SMCA,SMCA,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0
HARMONY,UCSC,,Harmony,,,35.49641,-121.057808,HARMONY UCSC,,,White Rock SMCA,SMCA,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,20.5,0,0,0,SL484,3,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z","f,c,s,u,z",", ,s,u,z","f,c,s,u,",,,,,,,,,,,,,5
ESTERO,UCSC,PT_ESTERO,Estero,,,35.472387,-121.029631,ESTERO UCSC,,,White Rock SMCA,SMCA,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,20.7,2007,0,0,SL464,3,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z","f,c,s,u,",", ,s,u,","f,c,s,u,",,,,,,,,,,,,,5
Estero,RCCA,,Estero,,,35.4718,-121.021,Estero RCCA,,,White Rock SMCA,SMCA,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Cayucos,RCCA,,Cayucos,,,35.4408,-120.9363,Cayucos RCCA,,,,,,,,,CALIFORNIA,CENTRAL,Central Coast,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
CAYUCOS_DC,UCSC,,Cayucos DC,,,35.434393,-120.947256,CAYUCOS_DC UCSC,,,White Rock SMCA,SMCA,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,15.5,0,0,0,SL419,,,,,,,"f, ,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,z",,,,,,,,,,,,,,,7
CAYUCOS_UC,UCSC,,Cayucos UC,,,35.43415,-120.950473,CAYUCOS_UC UCSC,,,White Rock SMCA,SMCA,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Cambria,17,0,0,0,SL420,,,,,,,"f, ,s,u,z","f,c,s,u,z","f,c,s,u,","f,c,s,u,","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,,,,,,,,,,,,,,7
Spooners Cove,RCCA,Spooners,Spooners,,,35.2771,-120.893,Spooners Cove RCCA,,,Point Buchon SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Corallina Cove,RCCA,,Corallina Cove,,,35.2667,-120.9019,Corallina Cove RCCA,,,Point Buchon SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BUCHON,UCSC,PT_BUCHON,Buchon,,,35.244079,-120.901098,BUCHON UCSC,,,Point Buchon SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt. Buchon,20.4,2007,0,0,SL267,2,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",13
Point Buchon,RCCA,,Point Buchon,,,35.2406546,-120.8963093,Point Buchon RCCA,,,Point Buchon SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,ETS-Location changed based on mapping,,,,,,,,,,,,,,,,,,,,,,,,,,0
TENERA,UCSC,,Tenera,,,35.238631,-120.895481,TENERA UCSC,,,Point Buchon SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt. Buchon,20.4,2007,0,0,SL263,2,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c, , ,",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",11
MONTANA_DE_ORO,UCSC,,Montana De Oro,,,35.23323,-120.89081,MONTANA_DE_ORO UCSC,,,Point Buchon SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt. Buchon,21.6,2007,0,0,SL259,2,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",13
Montana De Oro,RCCA,,Montana De Oro,,,35.2312,-120.8853,Montana De Oro RCCA,,,Point Buchon SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
CROWBAR,UCSC,CROWBAR_CYN,Crowbar,,,35.226163,-120.881427,CROWBAR UCSC,,,Point Buchon SMR,SMR,mpa,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt. Buchon,22,2007,0,0,SL253,2,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z",,,"f,c,s,u,",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",11
GREEN_PEAK,UCSC,,Green Peak,,,35.190104,-120.830687,GREEN_PEAK UCSC,,,Point Buchon SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt. Buchon,16.2,0,0,0,SL212,2,,,,,,,,,,", ,s,u,z","f, ,s,u,z",,,"f,c,s,u,",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",11
LITTLE_IRISH_UC,UCSC,,Little Irish UC,,,35.18421,-120.825084,LITTLE_IRISH_UC UCSC,,,Point Buchon SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt. Buchon,19.2,0,0,0,SL204,2,,,,,,,,,,"f, ,s,u,z","f, ,s,u,z","f,c,s,u,z","f,c,s,u,z","f,c,s,u,",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",13
LITTLE_IRISH_CEN,UCSC,,Little Irish CEN,,,35.178059,-120.817733,LITTLE_IRISH_CEN UCSC,,,Point Buchon SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt. Buchon,19.8,0,0,0,SL200,2,,,,,,,,,,", ,s,u,z","f, ,s,u,z",,,"f,c, , ,",,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",11
LITTLE_IRISH_DC,UCSC,,Little Irish DC,,,35.175931,-120.812501,LITTLE_IRISH_DC UCSC,,,Point Buchon SMR,SMR,reference,,,YES,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt. Buchon,20.3,0,0,0,SL196,2,,,,,,,,,,"f, ,s,u,z","f, ,s,u,","f,c,s,u,z","f,c,s,u,","f,c,s,u,",,,,,,"f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,","f, ,s,u,",12
PISMO_W,UCSB,,Pismo W,,,35.156467,-120.6912,PISMO_W UCSB,,,Point Buchon SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Pt. Buchon,,,,,SL120,,,,,", ,s,u,",,,,,,,,,,,,,,,,,,,,,,,1
SAL_FAR_WEST,UCSB,,Sal Far West,,,34.873317,-120.633567,SAL_FAR_WEST UCSB,,,Vandenberg SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Vandenberg,12.5,0,0,0,B1645,,,,,,"f, , , ,",,,,,,,,,,,,,,,,,,,,,,1
SAL_N,UCSB,,Sal N,,,34.87315,-120.634483,SAL_N UCSB,,,Vandenberg SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Vandenberg,15.2,0,0,0,B1646,,,"f,c,s,u,","f,c,s,u,","f, ,s,u,",,"f, ,s,u,",", ,s,u,",,,,,,,,,,,,,,,,,,,,5
SAL_W,UCSB,,Sal W,,,34.872667,-120.6327,SAL_W UCSB,,,Vandenberg SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Vandenberg,12.2,0,0,0,B1643,,,,,,"f, ,s,u,",,,,,,,,,,,,,,,,,,,,,,1
SAL_CEN,UCSB,,Sal CEN,,,34.871917,-120.632567,SAL_CEN UCSB,,,Vandenberg SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Vandenberg,0,0,0,0,B1643,,,,"f,c,s,u,",,,,,,,,,,,,,,,,,,,,,,,,1
SAL_E,UCSB,,Sal E,,,34.871867,-120.6296,SAL_E UCSB,,,Vandenberg SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Vandenberg,,,,,B1641,,,,,,", ,s,u,",,,,,,,,,,,,,,,,,,,,,,1
SAL_S,UCSB,,Sal S,,,34.871733,-120.630083,SAL_S UCSB,,,Vandenberg SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Vandenberg,15.2,0,0,0,B1642,,,"f,c,s,u,","f,c,s,u,","f, ,s,u,",,"f, ,s,u,",", ,s,u,",,,,,,,,,,,,,,,,,,,,5
DUNES,UCSB,DUNES_CEN,Dunes,,,34.7731,-120.65022,DUNES UCSB,,,Vandenberg SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Vandenberg,21.6,0,0,0,B1510,,,,,,,,,,,,,", ,s,u,",,,,,,,,,,,,,,,1
DUNES,UCSC,PURISIMA_DUNES,Dunes,,,34.7731,-120.65022,DUNES UCSC,,,Vandenberg SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Vandenberg,21.6,0,0,0,B1510,,,,,,,,,,,,"f, ,s,u,",,,,,,,,,,,,,,,,1
VANDENBERG_S,UCSC,PT_PURISIMA_S,Vandenberg S,,,34.749687,-120.648418,VANDENBERG_S UCSC,,,Vandenberg SMR,SMR,reference,,,NO,CALIFORNIA,CENTRAL,Central Coast,Central Coast,Vandenberg,20.4,0,0,0,B1499,,,,,,,,,,,,"f, ,s,u,z",,,,,,,,,,,,,,,,1
